Name,URL,
150 West Jefferson,http://www.150westjefferson.com/,<li><a target="_blank" href="http://www.150westjefferson.com/">150 West Jefferson</a></li>
AAA of Michigan,http://michigan.aaa.com/home.jsp?zip=48205&stateprov=mi&city=detroit&devicecd=PC&referer=www.downtowndetroit.org,<li><a target="_blank" href="http://michigan.aaa.com/home.jsp?zip=48205&stateprov=mi&city=detroit&devicecd=PC&referer=www.downtowndetroit.org">AAA of Michigan</a></li>
Abbot Nicholson, PC,http://www.anqey.com/,<li><a target="_blank" href="http://www.anqey.com/">Abbot Nicholson, PC</a></li>
American Building Maintenance,http://www.abm.com/Pages/default.aspx,<li><a target="_blank" href="http://www.abm.com/Pages/default.aspx">American Building Maintenance</a></li>
American Institute of Architects,http://aiamichigan.wildapricot.org/,<li><a target="_blank" href="http://aiamichigan.wildapricot.org/">American Institute of Architects</a></li>
Apparatus Solutions, Inc.,http://www.apparatussolutionsinc.com/,<li><a target="_blank" href="http://www.apparatussolutionsinc.com/">Apparatus Solutions, Inc.</a></li>
Barris, Sott, Denn & Driker, PLLC,http://www.bsdd.com/,<li><a target="_blank" href="http://www.bsdd.com/">Barris, Sott, Denn & Driker, PLLC</a></li>
Bassett & Bassett, Inc.,http://www.bassettbassett.com,<li><a target="_blank" href="http://www.bassettbassett.com">Bassett & Bassett, Inc.</a></li>
Blake Kirchmer Symonds, Larson, Kennedy, Smith P.C.,http://www.blakekirchner.com,<li><a target="_blank" href="http://www.blakekirchner.com">Blake Kirchmer Symonds, Larson, Kennedy, Smith P.C.</a></li>
Blue Cross Blue Shield of Michigan,http://www.bcbsm.com/index.shtml,<li><a target="_blank" href="http://www.bcbsm.com/index.shtml">Blue Cross Blue Shield of Michigan</a></li>
Bob Maxey Ford, Inc.,http://bobmaxeyford.com,<li><a target="_blank" href="http://bobmaxeyford.com">Bob Maxey Ford, Inc.</a></li>
Bodman PLC,http://www.bodmanlongley.com/home.php,<li><a target="_blank" href="http://www.bodmanlongley.com/home.php">Bodman PLC</a></li>
Brickman Group,http://www.brickmangroup.com/index.php,<li><a target="_blank" href="http://www.brickmangroup.com/index.php">Brickman Group</a></li>
Business Leaders for Michigan,http://www.businessleadersformichigan.com,<li><a target="_blank" href="http://www.businessleadersformichigan.com">Business Leaders for Michigan</a></li>
Butzel Long, PC,http://www.butzel.com,<li><a target="_blank" href="http://www.butzel.com">Butzel Long, PC</a></li>
Charter One Bank,http://www.charterone.com/default.aspx,<li><a target="_blank" href="http://www.charterone.com/default.aspx">Charter One Bank</a></li>
Chase,,<li>Chase</li>
Chrysler Group,,<li>Chrysler Group</li>
City of Detroit,http://www.detroitmi.gov,<li><a target="_blank" href="http://www.detroitmi.gov">City of Detroit</a></li>
Clark Hill PLC,http://www.clarkhill.com,<li><a target="_blank" href="http://www.clarkhill.com">Clark Hill PLC</a></li>
Comerica Bank,https://www.comerica.com/Pages/default.aspx,<li><a target="_blank" href="https://www.comerica.com/Pages/default.aspx">Comerica Bank</a></li>
Community Foundation for Southeastern Michigan,http://cfsem.org,<li><a target="_blank" href="http://cfsem.org">Community Foundation for Southeastern Michigan</a></li>
