property_title,type,unit_title,bedrooms,bathrooms,price,sq_foot,pets,fitness,parking,washer_dryer,agent_name,agent_phone,agent_email,agent_website,address,city,zip,state,latitude,longitude,available,description
The Albert,rental,1 bedroom,1,1,1195-1500,,TRUE,TRUE,TRUE,FALSE,Sara Centkowski,313-410-9312,scentkowski@brodersachse.com,http://www.thealbertcapitolpark.com/,1214 Griswold,Detroit,48226,MI,,,TRUE,Newly renovated rental building�in the heart of�up-and-coming Capitol Park
The Albert,rental,2 bedroom,2,1,1615-2375,,TRUE,TRUE,TRUE,FALSE,Sara Centkowski,313-410-9312,scentkowski@brodersachse.com,http://www.thealbertcapitolpark.com/,1214 Griswold,Detroit,48226,MI,,,FALSE,Newly renovated rental building�in the heart of�up-and-coming Capitol Park
The Ashley,rental,1 bedroom,1,1,725-1230,,TRUE,FALSE,TRUE,FALSE,Amanda Davenport,313-338-3917,downtown@pmapts.com,http://theashleydetroit.com/,1538 Centre Street,Detroit,48226,MI,,,FALSE,A historic hotel-turned-apartment-building in a cozy corner of downtown
The Ashley,rental,1 bedroom,1,1.5,1405-1505,,TRUE,FALSE,TRUE,FALSE,Amanda Davenport,313-338-3917,downtown@pmapts.com,http://theashleydetroit.com/,1538 Centre Street,Detroit,48226,MI,,,FALSE,A historic hotel-turned-apartment-building in a cozy corner of downtown
The Ashley,rental,2 bedroom,2,1,1000-1265,,TRUE,FALSE,TRUE,FALSE,Amanda Davenport,313-338-3917,downtown@pmapts.com,http://theashleydetroit.com/,1538 Centre Street,Detroit,48226,MI,,,FALSE,A historic hotel-turned-apartment-building in a cozy corner of downtown
The Ashley,rental,2 bedroom,2,2,1580-1650,,TRUE,FALSE,TRUE,FALSE,Amanda Davenport,313-338-3917,downtown@pmapts.com,http://theashleydetroit.com/,1538 Centre Street,Detroit,48226,MI,,,FALSE,A historic hotel-turned-apartment-building in a cozy corner of downtown
Detroit City Apartments,rental,1 Bedroom,1,1,1010-1035,,TRUE,TRUE,TRUE,FALSE,Village Green,313-961-5820,dca@villagegreen.com,http://www.detroitcityapartments.com/,1431 Washington,Detroit,48226,MI,,,TRUE,"Vibrant design and top, hotel-like amenities including a pool, roof deck, and more"
Detroit City Apartments,rental,1 Bedroom,1,2,1355,,TRUE,TRUE,TRUE,FALSE,Village Green,313-961-5820,dca@villagegreen.com,http://www.detroitcityapartments.com/,1431 Washington,Detroit,48226,MI,,,TRUE,"Vibrant design and top, hotel-like amenities including a pool, roof deck, and more"
Renaissance City Apartments,rental,1 Bedroom,1,1,1130-1350,,TRUE,TRUE,TRUE,FALSE,Village Green,866-486-4132,rca@villagegreen.com,http://www.renaissancecityapts.com/,555 Brush,Detroit,48226,MI,,,TRUE,"With great facilities and tons of nearby shops and restaurants, residents of Renaissance City Apartments have it all at their fingertips"
Renaissance City Apartments,rental,2 bedroom,2,2,1475-2885,,TRUE,TRUE,TRUE,FALSE,Village Green,866-486-4132,rca@villagegreen.com,http://www.renaissancecityapts.com/,555 Brush,Detroit,48226,MI,,,TRUE,"With great facilities and tons of nearby shops and restaurants, residents of Renaissance City Apartments have it all at their fingertips"
Book Cadillac,rental,2 bedroom,1,1.5,2250,,TRUE,TRUE,TRUE,TRUE,The Loft Warehouse,313-658-6400,sabra@theloftwarehouse.com,http://theloftwarehouse.com/index.php?option=com_iproperty&view=property&id=265&Itemid=181,1135 Shelby,Detroit,48226,MI,,,TRUE,Luxury hotel amenities in this downtown high rise
Book Cadillac,rental,1 Bedroom,1,1.5,2400,,TRUE,TRUE,TRUE,TRUE,The Loft Warehouse,313-658-6400,sabra@theloftwarehouse.com,http://theloftwarehouse.com/index.php?option=com_iproperty&view=property&id=215&Itemid=181,1135 Shelby,Detroit,48226,MI,,,TRUE,Luxury hotel amenities in this downtown high rise
Fort Shelby Tower Apartments,rental,1 Bedroom,1,1,1992,,TRUE,TRUE,TRUE,TRUE,The Loft Warehouse,313-995-9047,info@thefortshelby.com,http://fortshelby.com/,527 W. Lafayette,Detroit,48226,MI,,,TRUE,An upscale residence with hotel amenities in the Central Business District
Fort Shelby Tower Apartments,rental,2 bedroom,2,2,2312,,TRUE,TRUE,TRUE,TRUE,The Loft Warehouse,313-995-9047,info@thefortshelby.com,http://fortshelby.com/,527 W. Lafayette,Detroit,48226,MI,,,TRUE,An upscale residence with hotel amenities in the Central Business District
Fort Shelby Tower Apartments,rental,3 Bedroom,3,2,2862,,TRUE,TRUE,TRUE,TRUE,The Loft Warehouse,313-995-9047,info@thefortshelby.com,http://fortshelby.com/,527 W. Lafayette,Detroit,48226,MI,,,TRUE,An upscale residence with hotel amenities in the Central Business District
Kales Building,rental,1 Bedroom,1,1,977-1550,,TRUE,TRUE,TRUE,TRUE,Carly Mys,313-963-7676,Carly.Mys@gmail.com,http://kalesbuildingdetroit.com/,76 W. Adams,Detroit,48226,MI,,,FALSE,"Sophisticated apartment living, in the heart of some of Detroit's top entertainment spots"
Kales Building,rental,2 bedroom,2,1.5,1610-1800,,TRUE,TRUE,TRUE,TRUE,Carly Mys,313-963-7676,Carly.Mys@gmail.com,http://kalesbuildingdetroit.com/,76 W. Adams,Detroit,48226,MI,,,FALSE,"Sophisticated apartment living, in the heart of some of Detroit's top entertainment spots"
Kales Building,rental,2 bedroom,2,2,1800-2500,,TRUE,TRUE,TRUE,TRUE,Carly Mys,313-963-7676,Carly.Mys@gmail.com,http://kalesbuildingdetroit.com/,76 W. Adams,Detroit,48226,MI,,,FALSE,"Sophisticated apartment living, in the heart of some of Detroit's top entertainment spots"
Riverfront Towers,rental,1 Bedroom,1,1,858-1061,,TRUE,TRUE,TRUE,TRUE,Pamela Yancy,313-393-5000,riverfront@haymanco.com,http://www.liveriverfrontdetroit.com/,250 Riverfront Dr,Detroit,48226,MI,,,FALSE,Riverfront living with convenient on-site amenities
Riverfront Towers,rental,1 Bedroom,1,1.5,1015-1025,,TRUE,TRUE,TRUE,TRUE,Pamela Yancy,313-393-5000,riverfront@haymanco.com,http://www.liveriverfrontdetroit.com/,250 Riverfront Dr,Detroit,48226,MI,,,FALSE,Riverfront living with convenient on-site amenities
Riverfront Towers,rental,1 Bedroom,1,1,1150,,TRUE,TRUE,TRUE,TRUE,Shane,224-420-0180,gcsqq-5034295927@hous.craigslist.org,http://detroit.craigslist.org/wyn/apa/5034295927.html,250 Riverfront Dr,Detroit,48226,MI,,,TRUE,Riverfront living with convenient on-site amenities
David Whitney Building,rental,1 Bedroom,1,1,1050-1950,,TRUE,TRUE,TRUE,FALSE,Michael Martorelli,313-782-4056,Residences@davidwhitneybuilding.com,http://davidwhitneybuilding.com/#/residences,1 Park Ave,Detroit,48226,MI,,,TRUE,Luxury rentals in a historic downtown skyscraper
David Whitney Building,rental,2 bedroom,2,2,2275-2600,,TRUE,TRUE,TRUE,FALSE,Michael Martorelli,313-782-4056,Residences@davidwhitneybuilding.com,http://davidwhitneybuilding.com/#/residences,1 Park Ave,Detroit,48226,MI,,,FALSE,Luxury rentals in a historic downtown skyscraper
David Whitney Building,rental,3 Bedroom,3,2,3150-3750,,TRUE,TRUE,TRUE,FALSE,Michael Martorelli,313-782-4056,Residences@davidwhitneybuilding.com,http://davidwhitneybuilding.com/#/residences,1 Park Ave,Detroit,48226,MI,,,FALSE,Luxury rentals in a historic downtown skyscraper
Lofts @ Woodward Center,rental,1 Bedroom,2,2,1837,,TRUE,FALSE,TRUE,TRUE,Carrie Cohen,313-496-3000,cohen@farbman.com,http://theloftwarehouse.com/index.php?option=com_iproperty&view=property&id=248&Itemid=181,1448 Woodward Ave,Detroit,48226,MI,,,TRUE,Lofty spots in a prime downtown location
Lofts @ Woodward Center,rental,1 Bedroom,1,1,1937,,TRUE,FALSE,TRUE,TRUE,Carrie Cohen,313-496-3000,cohen@farbman.com,http://theloftwarehouse.com/index.php?option=com_iproperty&view=property&id=246&Itemid=181,1448 Woodward Ave,Detroit,48226,MI,,,TRUE,Lofty spots in a prime downtown location
