property_title,type,unit_title,bedrooms,bathrooms,price,sq_foot,pets,fitness,parking,washer_dryer,agent_name,agent_phone,agent_email,agent_website,address,city,zip,state,latitude,longitude,available,description
The Albert,rental,1 bedroom,1,1,1195-1500,,1,1,1,0,Sara Centkowski,313-410-9312,scentkowski@brodersachse.com,http://www.thealbertcapitolpark.com/,1214 Griswold,Detroit,48226,MI,,,0,Newly renovated rental building in the heart of up-and-coming Capitol Park
The Albert,rental,2 bedroom,2,1,1615-2375,,1,1,1,0,Sara Centkowski,313-410-9312,scentkowski@brodersachse.com,http://www.thealbertcapitolpark.com/,1214 Griswold,Detroit,48226,MI,,,0,Newly renovated rental building in the heart of up-and-coming Capitol Park
The Ashley,rental,1 bedroom,1,1,725-1230,,1,0,1,0,Amanda Davenport,313-338-3917,downtown@pmapts.com,http://theashleydetroit.com/,1538 Centre Street,Detroit,48226,MI,,,0,A historic hotel-turned-apartment-building in a cozy corner of downtown
The Ashley,rental,1 bedroom,1,1.5,1405-1505,,1,0,1,0,Amanda Davenport,313-338-3917,downtown@pmapts.com,http://theashleydetroit.com/,1538 Centre Street,Detroit,48226,MI,,,0,A historic hotel-turned-apartment-building in a cozy corner of downtown
The Ashley,rental,2 bedroom,2,1,1000-1265,,1,0,1,0,Amanda Davenport,313-338-3917,downtown@pmapts.com,http://theashleydetroit.com/,1538 Centre Street,Detroit,48226,MI,,,0,A historic hotel-turned-apartment-building in a cozy corner of downtown
The Ashley,rental,2 bedroom,2,2,1580-1650,,1,0,1,0,Amanda Davenport,313-338-3917,downtown@pmapts.com,http://theashleydetroit.com/,1538 Centre Street,Detroit,48226,MI,,,0,A historic hotel-turned-apartment-building in a cozy corner of downtown
Detroit City Apartments,rental,2 Bedroom2,2,2.5,2390,,1,1,1,0,Village Green,313-961-5820,dca@villagegreen.com,http://www.detroitcityapartments.com/,1431 Washington,Detroit,48226,MI,,,1,"Vibrant design and top, hotel-like amenities including a pool, roof deck, and more"
Detroit Savings Bank,rental,Studio,0,1,1025-1305,,0,0,1,1,Brandon West,313-964-1212,BWest@buildtech.com,http://detroitsavingsbank.com/,1212 Griswold,Detroit,48226,MI,,,1,Former bank in Capitol Park revived as a luxury rental property
Detroit Savings Bank,rental,1 bedroom,1,1,1330-1595,,0,0,1,1,Brandon West,313-964-1212,BWest@buildtech.com,http://detroitsavingsbank.com/,1212 Griswold,Detroit,48226,MI,,,1,Former bank in Capitol Park revived as a luxury rental property
Detroit Savings Bank,rental,2 bedroom,2,2,2200-2500,,0,0,1,1,Brandon West,313-964-1212,BWest@buildtech.com,http://detroitsavingsbank.com/,1212 Griswold,Detroit,48226,MI,,,1,Former bank in Capitol Park revived as a luxury rental property
Detroit Savings Bank,rental,2 bedroom,2,3,2300,,0,0,1,1,Brandon West,313-964-1212,BWest@buildtech.com,http://detroitsavingsbank.com/,1212 Griswold,Detroit,48226,MI,,,1,Former bank in Capitol Park revived as a luxury rental property
Detroit Savings Bank,rental,3 Bedroom,3,2.5,2500-2875,,0,0,1,1,Brandon West,313-964-1212,BWest@buildtech.com,http://detroitsavingsbank.com/,1212 Griswold,Detroit,48226,MI,,,1,Former bank in Capitol Park revived as a luxury rental property
Renaissance City Apartments,rental,1 Bedroom,1,1,1130-1350,,1,1,1,0,Village Green,866-486-4132,rca@villagegreen.com,http://www.renaissancecityapts.com/,555 Brush,Detroit,48226,MI,,,0,"With great facilities and tons of nearby shops and restaurants, residents of Renaissance City Apartments have it all at their fingertips"
Renaissance City Apartments,,2 bedroom,2,2,1475-2885,,1,1,1,0,Village Green,866-486-4132,rca@villagegreen.com,http://www.renaissancecityapts.com/,555 Brush,Detroit,48226,MI,,,0,"With great facilities and tons of nearby shops and restaurants, residents of Renaissance City Apartments have it all at their fingertips"
Book Cadillac,rental,2 bedroom,2,2,2800,,1,1,1,1,The Loft Warehouse,313-658-6400,sabra@theloftwarehouse.com,http://theloftwarehouse.com/index.php?option=com_iproperty&view=property&id=265&Itemid=181,1135 Shelby,Detroit,48226,MI,,,1,Luxury hotel amenities in this downtown high rise
Fort Shelby Tower Apartments,rental,1 Bedroom,1,1,1992,,1,1,1,1,The Loft Warehouse,313-995-9047,info@thefortshelby.com,http://fortshelby.com/,527 W. Lafayette,Detroit,48226,MI,,,0,An upscale residence with hotel amenities in the Central Business District
Fort Shelby Tower Apartments,rental,2 bedroom,2,2,2312,,1,1,1,1,The Loft Warehouse,313-995-9047,info@thefortshelby.com,http://fortshelby.com/,527 W. Lafayette,Detroit,48226,MI,,,0,An upscale residence with hotel amenities in the Central Business District
Fort Shelby Tower Apartments,rental,3 Bedroom,3,2,2862,,1,1,1,1,The Loft Warehouse,313-995-9047,info@thefortshelby.com,http://fortshelby.com/,527 W. Lafayette,Detroit,48226,MI,,,0,An upscale residence with hotel amenities in the Central Business District
