property_title,type,unit_title,bedrooms,bathrooms,price,sq_foot,pets,fitness,parking,washer_dryer,agent_name,agent_phone,agent_email,agent_website,address,city,zip,state,latitude,longitude,available,description
The Albert,rental,1 bedroom,1,1,1195-1500,,1,1,1,0,Sara Centkowski,313-410-9312,scentkowski@brodersachse.com,http://www.thealbertcapitolpark.com/,1214 Griswold,Detroit,48226,MI,,,1,
The Albert,rental,2 bedroom,2,1,1615-2375,,1,1,1,0,Sara Centkowski,313-410-9312,scentkowski@brodersachse.com,http://www.thealbertcapitolpark.com/,1214 Griswold,Detroit,48226,MI,,,0,
The Ashley,rental,1 bedroom,1,1,725-1230,,1,0,1,0,Amanda Davenport,313-338-3917,downtown@pmapts.com,http://theashleydetroit.com/,1538 Centre Street,Detroit,48226,MI,,,0,
The Ashley,rental,1 bedroom,1,1.5,1405-1505,,1,0,1,0,Amanda Davenport,313-338-3917,downtown@pmapts.com,http://theashleydetroit.com/,1538 Centre Street,Detroit,48226,MI,,,0,
The Ashley,rental,2 bedroom,2,1,1000-1265,,1,0,1,0,Amanda Davenport,313-338-3917,downtown@pmapts.com,http://theashleydetroit.com/,1538 Centre Street,Detroit,48226,MI,,,0,
The Ashley,rental,2 bedroom,2,2,1580-1650,,1,0,1,0,Amanda Davenport,313-338-3917,downtown@pmapts.com,http://theashleydetroit.com/,1538 Centre Street,Detroit,48226,MI,,,0,
Detroit City Apartments,rental,1 Bedroom,1,1,1010-1035,,1,1,1,0,Village Green,313-961-5820,dca@villagegreen.com,http://www.detroitcityapartments.com/,1431 Washington,Detroit,48226,MI,,,1,
Detroit City Apartments,rental,1 Bedroom,1,2,1355,,1,1,1,0,Village Green,313-961-5820,dca@villagegreen.com,http://www.detroitcityapartments.com/,1431 Washington,Detroit,48226,MI,,,1,
Renaissance City Apartments,rental,1 Bedroom,1,1,1130-1350,,1,1,1,0,Village Green,866-486-4132,rca@villagegreen.com,http://www.renaissancecityapts.com/,555 Brush,Detroit,48226,MI,,,1,
Renaissance City Apartments,,2 bedroom,2,2,1475-2885,,1,1,1,0,Village Green,866-486-4132,rca@villagegreen.com,http://www.renaissancecityapts.com/,555 Brush,Detroit,48226,MI,,,1,
